planning_horizon,technology,parameter,value,unit,source,further description
2020,gas,fuel,10.00,EUR/MWh_th,World Bank CMO Pink Sheet (Natural gas Europe) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2021,gas,fuel,41.40,EUR/MWh_th,World Bank CMO Pink Sheet (Natural gas Europe) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2022,gas,fuel,117.03,EUR/MWh_th,World Bank CMO Pink Sheet (Natural gas Europe) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2023,gas,fuel,40.40,EUR/MWh_th,World Bank CMO Pink Sheet (Natural gas Europe) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2024,gas,fuel,29.22,EUR/MWh_th,World Bank CMO Pink Sheet (Natural gas Europe) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2025,gas,fuel,29.87,EUR/MWh_th,World Bank CMO Pink Sheet (Natural gas Europe) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2020,coal,fuel,8.24,EUR/MWh_th,World Bank CMO Pink Sheet (Coal South African) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2021,coal,fuel,13.98,EUR/MWh_th,World Bank CMO Pink Sheet (Coal South African) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2022,coal,fuel,29.20,EUR/MWh_th,World Bank CMO Pink Sheet (Coal South African) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2023,coal,fuel,14.22,EUR/MWh_th,World Bank CMO Pink Sheet (Coal South African) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2024,coal,fuel,11.69,EUR/MWh_th,World Bank CMO Pink Sheet (Coal South African) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2025,coal,fuel,9.93,EUR/MWh_th,World Bank CMO Pink Sheet (Coal South African) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2020,oil,fuel,22.51,EUR/MWh,World Bank CMO Pink Sheet (Crude oil Brent) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2021,oil,fuel,33.67,EUR/MWh,World Bank CMO Pink Sheet (Crude oil Brent) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2022,oil,fuel,50.18,EUR/MWh,World Bank CMO Pink Sheet (Crude oil Brent) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2023,oil,fuel,38.96,EUR/MWh,World Bank CMO Pink Sheet (Crude oil Brent) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2024,oil,fuel,36.71,EUR/MWh,World Bank CMO Pink Sheet (Crude oil Brent) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
2025,oil,fuel,29.57,EUR/MWh,World Bank CMO Pink Sheet (Crude oil Brent) via build_fossil_fuel_prices workflow (EUR2020 real),Annual average of monthly values deflated to EUR2020 using IMF GDP deflator; derived from resources/monthly_fuel_price.csv
all,solar,marginal_cost,0.01,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,onwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,offwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,hydro,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,H2,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,electrolysis,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,fuel cell,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,battery,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,battery inverter,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,home battery storage,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,water tank charger,marginal_cost,0.03,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,central water pit charger,marginal_cost,0.025,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
